ticker,name,sector
1301.T,"KYOKUYO CO.,LTD.","Fishery, Agriculture and Forestry"
1332.T,Nissui Corporation,"Fishery, Agriculture and Forestry"
1333.T,Maruha Nichiro Corporation,"Fishery, Agriculture and Forestry"
1375.T,"YUKIGUNI FACTORY CO.,LTD.","Fishery, Agriculture and Forestry"
1377.T,SAKATA SEED CORPORATION,"Fishery, Agriculture and Forestry"
1379.T,HOKUTO CORPORATION,"Fishery, Agriculture and Forestry"
1414.T,"SHO-BOND Holdings Co.,Ltd.",Construction
1417.T,MIRAIT ONE Corporation,Construction
1419.T,"Tama Home Co.,Ltd.",Construction
1429.T,"Nippon Aqua Co.,Ltd.",Construction
1433.T,"BESTERRA CO.,LTD",Construction
1515.T,"Nittetsu Mining Co.,Ltd.",Mining
1518.T,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",Other Products
1605.T,INPEX CORPORATION,Mining
1662.T,"Japan Petroleum Exploration Co.,Ltd.",Mining
1663.T,K&O Energy Group Inc.,Mining
167A.T,"Ryoyo Ryosan Holdings,Inc.",Wholesale Trade
1719.T,HAZAMA ANDO CORPORATION,Construction
1720.T,"TOKYU CONSTRUCTION CO., LTD.",Construction
1721.T,COMSYS Holdings Corporation,Construction
1726.T,Br.Holdings Corporation,Construction
1762.T,"TAKAMATSU CONSTRUCTION GROUP CO.,LTD.",Construction
1766.T,TOKEN CORPORATION,Construction
1773.T,YTL Corporation Berhad,Construction
1780.T,YAMAURA CORPORATION,Construction
1786.T,Oriental Shiraishi Corporation,Construction
1801.T,TAISEI CORPORATION,Construction
1802.T,OBAYASHI CORPORATION,Construction
1803.T,SHIMIZU CORPORATION,Construction
1808.T,HASEKO Corporation,Construction
1812.T,KAJIMA CORPORATION,Construction
1813.T,Fudo Tetra Corporation,Construction
1814.T,"DAISUE CONSTRUCTION CO.,LTD.",Construction
1815.T,TEKKEN CORPORATION,Construction
1820.T,"Nishimatsu Construction Co.,Ltd.",Construction
1833.T,OKUMURA CORPORATION,Construction
1835.T,"TOTETSU KOGYO CO.,LTD.",Construction
1852.T,ASANUMA CORPORATION,Construction
1860.T,TODA CORPORATION,Construction
1861.T,"Kumagai Gumi Co.,Ltd.",Construction
1870.T,"YAHAGI CONSTRUCTION CO.,LTD.",Construction
1871.T,"PS Construction Co.,Ltd.",Construction
1873.T,"NIHON HOUSE HOLDINGS CO.,LTD.",Construction
1878.T,"DAITO TRUST CONSTRUCTION CO.,LTD.",Real Estate
1879.T,SHINNIHON CORPORATION,Construction
1882.T,TOA ROAD CORPORATION,Construction
1885.T,TOA CORPORATION,Construction
1887.T,JDC CORPORATION,Construction
1888.T,"WAKACHIKU CONSTRUCTION CO.,LTD.",Construction
1893.T,"PENTA-OCEAN CONSTRUCTION CO.,LTD.",Construction
1898.T,"SEIKITOKYU KOGYO CO.,LTD.",Construction
1899.T,FUKUDA CORPORATION,Construction
1911.T,"Sumitomo Forestry Co.,Ltd.",Construction
1925.T,"DAIWA HOUSE INDUSTRY CO.,LTD.",Construction
1926.T,"RAITO KOGYO CO.,LTD.",Construction
1928.T,"Sekisui House,Ltd.",Construction
1929.T,"NITTOC CONSTRUCTION CO.,LTD.",Construction
1930.T,"HOKURIKU ELECTRICAL CONSTRUCTION CO.,LTD.",Construction
1934.T,YURTEC CORPORATION,Construction
1938.T,"NIPPON RIETEC CO.,LTD.",Construction
1939.T,YONDENKO CORPORATION,Construction
1941.T,CHUDENKO CORPORATION,Construction
1942.T,"KANDENKO CO.,LTD.",Construction
1944.T,KINDEN CORPORATION,Construction
1945.T,TOKYO ENERGY & SYSTEMS INC.,Construction
1946.T,TOENEC CORPORATION,Construction
1949.T,"SUMITOMO DENSETSU CO.,LTD.",Construction
1950.T,"NIPPON DENSETSU KOGYO CO.,LTD.",Construction
1951.T,"EXEO Group,Inc.",Construction
1952.T,"Shin Nippon Air Technologies Co.,Ltd.",Construction
1959.T,KRAFTIA CORPORATION,Construction
1961.T,"SANKI ENGINEERING CO.,LTD.",Construction
1963.T,JGC HOLDINGS CORPORATION,Construction
1964.T,"Chugai Ro Co.,Ltd.",Construction
1968.T,"TAIHEI DENGYO KAISHA,LTD.",Construction
1969.T,"Takasago Thermal Engineering Co.,Ltd.",Construction
1975.T,"ASAHI KOGYOSHA CO.,LTD.",Construction
1976.T,"MEISEI INDUSTRIAL Co.,Ltd.",Construction
1979.T,Taikisha Ltd.,Construction
1980.T,"DAI-DAN CO.,LTD.",Construction
1982.T,"Hibiya Engineering,Ltd.",Construction
2001.T,NIPPN CORPORATION,Foods
2002.T,NISSHIN SEIFUN GROUP INC.,Foods
2004.T,"Showa Sangyo Co.,Ltd.",Foods
2053.T,"CHUBU SHIRYO CO.,LTD.",Foods
2060.T,"FEED ONE CO.,LTD.",Foods
2108.T,"Nippon Beet Sugar Manufacturing Co.,Ltd.",Foods
2109.T,"Mitsui DM Sugar Co.,Ltd.",Foods
2117.T,"WELLNEO SUGAR Co.,Ltd.",Foods
2120.T,"LIFULL Co.,Ltd.",Services
2121.T,"MIXI,Inc.",Information & Communication
2124.T,"JAC Recruitment Co.,Ltd.",Services
2127.T,Nihon M&A Center Holdings Inc.,Services
212A.T,FIT EASY Inc.,Services
2130.T,"Members Co.,Ltd.",Services
2146.T,"UT Group Co.,Ltd.",Services
2148.T,ITmedia Inc.,Services
